Epoch 063 | lr=0.001000 | train_loss=0.2473 | val_loss=0.1762 | val_corner_err=0.9354
Epoch 064 | lr=0.001000 | train_loss=0.2503 | val_loss=0.1791 | val_corner_err=0.9446
Epoch 065 | lr=0.001000 | train_loss=0.2477 | val_loss=0.1780 | val_corner_err=0.9393
Epoch 066 | lr=0.001000 | train_loss=0.2428 | val_loss=0.1768 | val_corner_err=0.9363
Epoch 067 | lr=0.001000 | train_loss=0.2372 | val_loss=0.1742 | val_corner_err=0.9271
Epoch 068 | lr=0.001000 | train_loss=0.2376 | val_loss=0.1750 | val_corner_err=0.9271
Epoch 069 | lr=0.001000 | train_loss=0.2422 | val_loss=0.1773 | val_corner_err=0.9437
Epoch 070 | lr=0.001000 | train_loss=0.2446 | val_loss=0.1772 | val_corner_err=0.9401
Epoch 071 | lr=0.001000 | train_loss=0.2410 | val_loss=0.1768 | val_corner_err=0.9432
Epoch 072 | lr=0.001000 | train_loss=0.2407 | val_loss=0.1793 | val_corner_err=0.9469
Epoch 073 | lr=0.001000 | train_loss=0.2335 | val_loss=0.1753 | val_corner_err=0.9336
Epoch 074 | lr=0.001000 | train_loss=0.2468 | val_loss=0.1751 | val_corner_err=0.9330
Epoch 075 | lr=0.001000 | train_loss=0.2477 | val_loss=0.1697 | val_corner_err=0.9095
Epoch 076 | lr=0.001000 | train_loss=0.2390 | val_loss=0.1693 | val_corner_err=0.9087
Epoch 077 | lr=0.001000 | train_loss=0.2420 | val_loss=0.1744 | val_corner_err=0.9262
Epoch 078 | lr=0.001000 | train_loss=0.2350 | val_loss=0.1740 | val_corner_err=0.9194
Epoch 079 | lr=0.001000 | train_loss=0.2399 | val_loss=0.1783 | val_corner_err=0.9388
Epoch 080 | lr=0.001000 | train_loss=0.2423 | val_loss=0.1765 | val_corner_err=0.9265
Epoch 081 | lr=0.001000 | train_loss=0.2361 | val_loss=0.1740 | val_corner_err=0.9321
Epoch 082 | lr=0.001000 | train_loss=0.2344 | val_loss=0.1705 | val_corner_err=0.9147
Epoch 083 | lr=0.001000 | train_loss=0.2377 | val_loss=0.1721 | val_corner_err=0.9151
Epoch 084 | lr=0.001000 | train_loss=0.2386 | val_loss=0.1771 | val_corner_err=0.9426
Epoch 085 | lr=0.001000 | train_loss=0.2298 | val_loss=0.1698 | val_corner_err=0.9186
Epoch 086 | lr=0.001000 | train_loss=0.2282 | val_loss=0.1747 | val_corner_err=0.9243
Epoch 087 | lr=0.001000 | train_loss=0.2347 | val_loss=0.1736 | val_corner_err=0.9231
Epoch 088 | lr=0.001000 | train_loss=0.2348 | val_loss=0.1736 | val_corner_err=0.9116
Epoch 089 | lr=0.001000 | train_loss=0.2343 | val_loss=0.1745 | val_corner_err=0.9246
Epoch 090 | lr=0.001000 | train_loss=0.2321 | val_loss=0.1738 | val_corner_err=0.9224
Epoch 091 | lr=0.001000 | train_loss=0.2294 | val_loss=0.1675 | val_corner_err=0.8954
Epoch 092 | lr=0.001000 | train_loss=0.2258 | val_loss=0.1747 | val_corner_err=0.9275
Epoch 093 | lr=0.001000 | train_loss=0.2306 | val_loss=0.1719 | val_corner_err=0.9197
Epoch 094 | lr=0.001000 | train_loss=0.2371 | val_loss=0.1692 | val_corner_err=0.9046
Epoch 095 | lr=0.001000 | train_loss=0.2280 | val_loss=0.1649 | val_corner_err=0.8890
Epoch 096 | lr=0.001000 | train_loss=0.2238 | val_loss=0.1676 | val_corner_err=0.9073
Epoch 097 | lr=0.001000 | train_loss=0.2203 | val_loss=0.1694 | val_corner_err=0.9108
Epoch 098 | lr=0.001000 | train_loss=0.2239 | val_loss=0.1704 | val_corner_err=0.9228
Epoch 099 | lr=0.001000 | train_loss=0.2211 | val_loss=0.1713 | val_corner_err=0.9160
Epoch 100 | lr=0.001000 | train_loss=0.2236 | val_loss=0.1649 | val_corner_err=0.8965
